chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	transcript_id	region_length	translated_frame_score	translated_max_score	translated_phylop	translated_window_max	untranslated_frame_score	untranslated_max_score	untranslated_phylop	untranslated_window_max	translated_length	untranslated_length	intron_start	intron_end	frame	translated_coords	intron_coords
1	1013576	1013732	ENST00000649529_1	156	+	1013576	1013732	0	1	156	0	ENST00000649529	156	-23.455134556843685	-23.455134556843685	-0.363019227838287	-6.309600090980529	-28.36178875254445	-27.295876519138595	-0.3288087628214097	-13.722899901866914	156	251	1013576	1013983	3	1:1013576-1013732	1:1013576-1013983
1	22563731	22563824	ENST00000166244_1	93	+	22563731	22563824	0	1	93	0	ENST00000166244	93	-7.554032232492201	-5.568085888380645	1.9287956936625383	2.7125000685453413	-25.09885768750352	-24.472444080825102	0.16262385566705076	1.928300206363201	93	5466	22563729	22569288	3	1:22563731-22563824	1:22563729-22569288
1	22711045	22711291	ENST00000374630_1	246	+	22711045	22711291	0	1	246	0	ENST00000374630	246	-1.5193249821662902	-0.8604499482860167	4.368772352432332	5.329099977016449	-22.111761787666076	-21.871133069646806	0.12076723132438559	7.795000076293945	246	70131	22711043	22781420	2	1:22711045-22711291	1:22711043-22781420
1	28553137	28553209	ENST00000373830_1	72	+	28553137	28553209	0	1	72	0	ENST00000373830	72	-18.281375130017597	-11.907652836913863	0.9756805500300187	-4.098399996757507	-26.80253491935342	-23.63519076315123	-0.26849999954696574	-9.306599673628806	72	430	28553137	28553639	2	1:28553137-28553209	1:28553137-28553639
1	28737147	28737423	ENST00000373812_1	276	+	28737147	28737423	0	1	276	0	ENST00000373812	276	-9.94836268693741	-8.350424956107315	2.530648549872727	6.76300000846386	-15.604743517553194	-10.671906082230246	1.0606538446771347	-1.1171998977661133	276	234	28737147	28737657	1	1:28737147-28737423	1:28737147-28737657
1	32014379	32014604	ENST00000327300_1	225	+	32014379	32014604	0	1	225	0	ENST00000327300	225	-17.99840010444323	-17.99840010444323	0.6567111123436027	-0.9991000533103943	-17.093697774554798	-16.949217136055243	-0.01985711517859924	10.62600040435791	225	15695	32014377	32030297	3	1:32014379-32014604	1:32014377-32030297
1	32073053	32073263	ENST00000336294_1	210	+	32073053	32073263	0	1	210	0	ENST00000336294	210	-16.029999977988854	-11.215923844331078	1.9592666709174713	-4.078699964284897	-24.51345997102988	-22.973468941781956	0.4641332098970646	2.442000061273575	210	1689	32073051	32074950	3	1:32073053-32073263	1:32073051-32074950
1	32222444	32222489	ENST00000677711_1	45	+	32222444	32222489	0	1	45	0	ENST00000677711	45	-22.902799781163534	-22.902799781163534	0.5943777682880561	-14.152799725532532	-16.414874985814095	-16.414874985814095	1.220750008544807	-8.252600073814392	45	48	32222444	32222537	3	1:32222444-32222489	1:32222444-32222537
1	32292220	32292436	ENST00000373548_1	216	+	32292220	32292436	0	1	216	0	ENST00000373548	216	-16.333305730587906	-15.592060137264154	0.5157037019940887	-7.899400448799133	-14.108166492855414	-13.703895554661829	-0.27171953411136807	8.35200023651123	216	10186	32292218	32302620	2	1:32292220-32292436	1:32292218-32302620
1	35558223	35558376	ENST00000373243_1	153	+	35558223	35558376	0	1	153	0	ENST00000373243	153	-12.724568644575044	-10.30712416466155	3.292588241775733	-6.5105999410152435	-12.609339686569898	-12.609339686569898	2.8093301311352175	3.467599856853485	153	730	35558223	35559106	1	1:35558223-35558376	1:35558223-35559106
1	36089117	36089246	ENST00000373178_1	129	+	36089117	36089246	0	1	129	0	ENST00000373178	129	-9.910116319739542	-9.910116319739542	-0.2975271321443278	-2.4494999170303347	-12.64349463007467	-12.64349463007467	-0.22633854622069716	1.4150999680161476	129	1999	36089115	36091243	3	1:36089117-36089246	1:36089115-36091243
1	42658512	42658620	ENST00000304979_1	108	+	42658512	42658620	0	1	108	0	ENST00000304979	108	-18.3179721981287	-18.3179721981287	0.7054351887372495	-13.580100059509277	-32.31040364864696	-26.039919331569575	-0.010165914440018046	-17.359400117397307	108	223	42658512	42658843	1	1:42658512-42658620	1:42658512-42658843
1	45340306	45340375	ENST00000372090_1	69	+	45340306	45340375	0	1	69	0	ENST00000372090	69	-25.177043396493662	-25.177043396493662	0.6074057915990335	-17.24219970703125	-28.51538349818092	-25.88396255611094	0.3674978530953754	-8.738299858570098	69	699	45340304	45341072	2	1:45340306-45340375	1:45340304-45341072
1	46303820	46303982	ENST00000311672_1	162	+	46303820	46303982	0	1	162	0	ENST00000311672	162	-28.282111071050167	-27.33147515190972	0.13764197540391857	-17.246099883317946	-16.659826523441026	-16.31347823053974	0.03535076130011033	5.828500032424927	162	5118	46303820	46309100	3	1:46303820-46303982	1:46303820-46309100
1	50970497	50970548	ENST00000371761_1	51	+	50970497	50970548	0	1	51	0	ENST00000371761	51	-10.381764748517204	-3.379411792784345	5.16292158762614	-7.092700004577637	-24.737866648074583	-24.737866648074583	2.0722488045350786	-4.762600076198578	51	3344	50970497	50973892	3	1:50970497-50970548	1:50970497-50973892
1	54200591	54200675	ENST00000360840_1	84	+	54200591	54200675	0	1	84	0	ENST00000360840	84	-26.183714562228747	-16.02461906912781	0.63963095027776	-16.94670016169548	-17.892876672320888	-17.892876672320888	0.10763637422997918	28.967899894714357	84	9274	54200589	54209947	3	1:54200591-54200675	1:54200589-54209947
1	70411583	70411625	ENST00000370938_1	42	+	70411583	70411625	0	1	42	0	ENST00000370938	42	-16.87621416683708	-14.889071595101129	1.650285693395528	-14.670599846541881	-21.839904912898078	-20.93032162713063	-0.05667684204314364	1.4079999923706055	42	4330	70411583	70415955	3	1:70411583-70411625	1:70411583-70415955
1	75724817	75724898	ENST00000370841_1	81	+	75724817	75724898	0	1	81	0	ENST00000370841	81	-25.997740705808003	-17.31472831817321	0.056777773378991786	-16.003500175476074	-23.711281987845766	-23.26628111601964	0.007508453819771918	3.9240000247955322	81	3502	75724817	75728400	3	1:75724817-75724898	1:75724817-75728400
1	75786274	75786529	ENST00000319942_1	255	+	75786274	75786529	0	1	255	0	ENST00000319942	255	-30.290882385828915	-30.290882385828915	-0.6010470643237817	-17.71390030384064	-22.485217026002864	-22.140789414026795	0.1878197069233179	-2.923500058054924	255	967	75786274	75787496	2	1:75786274-75786529	1:75786274-75787496
1	85581047	85581137	ENST00000451137_1	90	+	85581047	85581137	0	1	90	0	ENST00000451137	90	-32.21369991488755	-22.35269969701767	0.42714444605323176	-22.6155001219362	-22.36221087853843	-22.36221087853843	0.2393982334977296	-9.341142790658134	90	227	85581047	85581364	3	1:85581047-85581137	1:85581047-85581364
1	92832117	92832189	ENST00000370321_1	72	+	92832117	92832189	0	1	72	0	ENST00000370321	72	-26.891166284680367	-26.891166284680367	0.2464861153275706	-21.24059988260269	-27.737212014714785	-25.2026027125952	-0.1180914437685251	1.6752999663352965	72	1199	92832117	92833388	1	1:92832117-92832189	1:92832117-92833388
1	100133315	100133489	ENST00000370141_1	174	+	100133315	100133489	0	1	174	0	ENST00000370141	174	-15.467017098747451	-15.467017098747451	0.774017246365119	-4.473099994659424	-21.0447208373197	-20.803923696500586	0.04934508566026882	7.593999862670898	174	3392	100133315	100136881	3	1:100133315-100133489	1:100133315-100136881
1	103526262	103526331	ENST00000423855_1	69	+	103526262	103526331	0	1	69	0	ENST00000423855	69	-27.69934785625209	-19.62943474646064	0.12539131322578675	-21.048400390148164	-29.738584025218394	-28.65524191679844	-0.2049889383491769	-13.270900106430053	69	1363	103526262	103527694	1	1:103526262-103526331	1:103526262-103527694
1	108692867	108692882	ENST00000370025_1	15	+	108692867	108692882	0	1	15	0	ENST00000370025	15	-11.757800102233887	-2.437533410390218	3.6719999582894767		-23.027291541716753	-22.30018590862561	1.5271223874339115	5.025500012934208	15	2819	108692867	108695701	3	1:108692867-108692882	1:108692867-108695701
1	110034817	110035102	ENST00000369795_1	285	+	110034817	110035102	0	1	285	0	ENST00000369795	285	-21.251957956740732	-17.841543928154728	0.5991017567451324	-5.102599966526031	-19.838658491887102	-19.82051664346843	0.09005594149219874	8.321000099182129	285	2788	110034817	110037890	2	1:110034817-110035102	1:110034817-110037890
1	151008671	151008692	ENST00000271620_1	21	+	151008671	151008692	0	1	21	0	ENST00000271620	21	-18.195142677852086	-18.195142677852086	2.4541904989275194		-17.69559404158646	-17.69559404158646	-0.08559879270303324	9.557999610900879	21	9119	151008671	151017811	3	1:151008671-151008692	1:151008671-151017811
1	151166203	151166332	ENST00000368905_1	129	+	151166203	151166332	0	1	129	0	ENST00000368905	129	-26.544930185689484	-17.444434056217357	0.45099999758599024	-8.40870011150837	-28.505521774291992	-28.415079625620358	-0.2397246390523767	-15.651299858093262	129	138	151166203	151166470	2	1:151166203-151166332	1:151166203-151166470
1	153990802	153990913	ENST00000651669_1	111	+	153990802	153990913	0	1	111	0	ENST00000651669	111	-16.740459330984063	-16.740459330984063	0.4183243222027044	-11.189799976348876					111	0	153990802	153990913	2	1:153990802-153990913	1:153990802-153990913
1	154974805	154974829	ENST00000308987_1	24	+	154974805	154974829	0	1	24	0	ENST00000308987	24	-6.437124887481332	-6.437124887481332	3.2529166381185255		-19.749349629460617	-19.749349629460617	0.031988224504310415	6.834000110626221	24	3158	154974804	154977986	2	1:154974805-154974829	1:154974804-154977986
1	154984066	154984117	ENST00000292180_1	51	+	154984066	154984117	0	1	51	0	ENST00000292180	51	-17.08864725337309	-17.08864725337309	1.1831176440121935	-17.27260003089905	-15.08423228304422	-15.08423228304422	-0.15485012574855622	1.356499969959259	51	3987	154984066	154988104	2	1:154984066-154984117	1:154984066-154988104
1	156729215	156729266	ENST00000368216_1	51	+	156729215	156729266	0	1	51	0	ENST00000368216	51	-20.085470886791455	-20.085470886791455	2.231372557361336	-11.74920015335083	-18.520233483520467	-17.33808591591031	-0.3899424262464941	-2.147900053858757	51	2724	156729215	156731990	3	1:156729215-156729266	1:156729215-156731990
1	161258983	161259226	ENST00000504449_1	243	+	161258983	161259226	0	1	243	0	ENST00000504449	243	-17.593950572757073	-17.593950572757073	0.39281893064365664	-3.1120999097824096	-18.172527489072078	-17.717028127447808	0.0050760552458154915	7.146999835968018	243	24441	161258983	161283667	2	1:161258983-161259226	1:161258983-161283667
1	203861713	203861740	ENST00000414487_1	27	+	203861713	203861740	0	1	27	0	ENST00000414487	27	-24.340777582592434	-13.434444515793412	2.0338888560180313		-22.401199959857124	-21.204672626176706	-0.15669670139239836	-2.1198998361825945	27	455	203861713	203862195	2	1:203861713-203861740	1:203861713-203862195
1	212859190	212859277	ENST00000366971_1	87	+	212859190	212859277	0	1	87	0	ENST00000366971	87	-31.418137906954207	-22.260241453675018	0.32618391940948266	-26.080199870467187	-16.00479057757256	-15.839648416611814	-0.21492543090363891	2.9203333655993142	87	4447	212859190	212863724	2	1:212859190-212859277	1:212859190-212863724
1	219173983	219174124	ENST00000366928_1	141	+	219173983	219174124	0	1	141	0	ENST00000366928	141	-29.751829720558003	-24.609425535861483	-0.33419148837288853	-15.307700085639954	-25.924966291295608	-24.871885600157807	-0.054465065201911314	-5.540300369262695	141	5024	219173981	219179146	2	1:219173983-219174124	1:219173981-219179146
