translon_id	chrom	start	end	strand	blockCount	exonic_length	genomic_span	phylop_dataset	flank_size	feature_n_bases	feature_mean	feature_median	feature_std	feature_min	feature_max	feature_q25	feature_q75	feature_frac_positive	feature_frac_conserved_weak	feature_frac_conserved_strong	feature_frac_negative	feature_frac_depleted	feature_max_conserved_run	upstream_n_bases	upstream_mean	upstream_median	upstream_std	upstream_min	upstream_max	upstream_q25	upstream_q75	upstream_frac_positive	upstream_frac_conserved_weak	upstream_frac_conserved_strong	upstream_frac_negative	upstream_frac_depleted	upstream_max_conserved_run	downstream_n_bases	downstream_mean	downstream_median	downstream_std	downstream_min	downstream_max	downstream_q25	downstream_q75	downstream_frac_positive	downstream_frac_conserved_weak	downstream_frac_conserved_strong	downstream_frac_negative	downstream_frac_depleted	downstream_max_conserved_run	n_codons	codon_pos1_mean	codon_pos2_mean	codon_pos3_mean	wobble_depletion_mean	codon_pos1_frac_conserved	codon_pos2_frac_conserved	codon_pos3_frac_conserved	feature_vs_upstream_diff	feature_vs_downstream_diff	flanking_mean	feature_vs_flanking_diff	conservation_specificity	specifically_conserved
c1norep1	chr1	826870	829027	+	2	78	2157	30way	150	78	-0.032846153	0.247	0.58058715	-1.961	0.619	-0.3540000021457672	0.39399999380111694	0.6153846153846154	0.05128205128205128	0.0	0.38461538461538464	0.19230769230769232	15	150	-0.020186664536595345	0.39399999380111694	0.7439528703689575	-2.9010000228881836	0.6190000176429749	-0.3192500099539757	0.5440000295639038	0.54	0.3	0.0	0.46	0.13333333333333333	5.0	150	0.059119999408721924	0.24699999392032623	0.5813875198364258	-4.947000026702881	0.27900001406669617	0.2280000001192093	0.25600001215934753	0.86	0.0	0.0	0.14	0.14	25.0	26	0.06550000607967377	-0.14080768823623657	-0.023230772465467453	-0.01442306861281395	0.0	0.0	0.0	-0.012659488245844841	-0.09196615219116211	0.019466673955321312	-0.05231282860040665	-0.09196615219116211	False
c1norep2	chr1	829023	829092	+	1	69	69	30way	150	69	0.08414493	0.247	0.44765455	-2.208	0.279	0.2280000001192093	0.25600001215934753	0.8695652173913043	0.0	0.0	0.13043478260869565	0.13043478260869565	12	150	0.05489334091544151	0.24699999392032623	0.4792812168598175	-2.0269999504089355	0.27900001406669617	0.2280000001192093	0.2589999958872795	0.84	0.0	0.0	0.16	0.16	26.0	150	0.06683333218097687	0.24699999392032623	0.578545868396759	-4.947000026702881	0.27900001406669617	0.2280000001192093	0.25600001215934753	0.8666666666666667	0.0	0.0	0.13333333333333333	0.13333333333333333	25.0	23	0.10804348438978195	0.15639129281044006	-0.011999991722404957	0.14421738404780626	0.0	0.0	0.0	0.0292515866458416	0.017311595380306244	0.06086334213614464	0.023281585425138474	0.017311595380306244	False
c1riboseqorf1	chr1	847671	850321	+	2	276	2650	30way	150	276	-0.098829724	-0.159	0.78066343	-4.199	0.658	-0.3357499912381172	0.5789999961853027	0.4311594202898551	0.4057971014492754	0.0	0.5688405797101449	0.18840579710144928	7	150	0.010953334160149097	0.05849999934434891	0.6552525162696838	-2.114000082015991	0.6579999923706055	-0.26624999195337296	0.5789999961853027	0.5	0.4266666666666667	0.0	0.5	0.15333333333333332	5.0	150	0.1580200046300888	0.5759999752044678	0.7296382784843445	-3.5179998874664307	0.6579999923706055	-0.2122499980032444	0.5960000157356262	0.6466666666666666	0.64	0.0	0.35333333333333333	0.11333333333333333	11.0	92	-0.033489130437374115	-0.09192392230033875	-0.17107608914375305	0.10836955904960632	0.0	0.0	0.0	-0.10978306084871292	-0.2568497359752655	0.08448667824268341	-0.1833164095878601	-0.2568497359752655	False
c1riboseqorf2	chr1	847671	852067	+	2	276	4396	30way	150	276	-0.120195664	-0.159	0.78814083	-4.199	0.658	-0.3357499912381172	0.5782500058412552	0.42028985507246375	0.38405797101449274	0.0	0.5797101449275363	0.18840579710144928	6	150	0.010953334160149097	0.05849999934434891	0.6552525162696838	-2.114000082015991	0.6579999923706055	-0.26624999195337296	0.5789999961853027	0.5	0.4266666666666667	0.0	0.5	0.15333333333333332	5.0	150	0.008746671490371227	-0.07150000333786011	0.6673826575279236	-2.309999942779541	0.6380000114440918	-0.3022500053048134	0.578000009059906	0.49333333333333335	0.49333333333333335	0.0	0.5	0.16666666666666666	11.0	92	-0.07641303539276123	-0.09394565969705582	-0.19022826850414276	0.10504892468452454	0.0	0.0	0.0	-0.13114899396896362	-0.1289423406124115	0.009850000031292439	-0.13004566729068756	-0.13114899396896362	False
c1riboseqorf3	chr1	852070	852699	+	2	69	629	30way	150	69	0.10214492	0.511	0.6193437	-2.31	0.638	-0.2280000001192093	0.5609999895095825	0.5507246376811594	0.5217391304347826	0.0	0.4492753623188406	0.10144927536231885	5	150	-0.10445332527160645	-0.15649999678134918	0.775866687297821	-3.430999994277954	0.6579999923706055	-0.3140000104904175	0.5609999895095825	0.44	0.38666666666666666	0.0	0.56	0.18666666666666668	6.0	150	0.021939991042017937	0.3790000081062317	0.66692054271698	-2.4170000553131104	0.6359999775886536	-0.35849998891353607	0.5600000023841858	0.5666666666666667	0.36666666666666664	0.0	0.43333333333333335	0.14666666666666667	8.0	23	0.17826086282730103	-0.0076086935587227345	0.13578259944915771	-0.050456516444683075	0.0	0.0	0.0	0.20659825205802917	0.08020492643117905	-0.04125666990876198	0.1434015929698944	0.08020492643117905	False
c1riboseqorf4	chr1	852734	853433	+	2	75	699	30way	150	75	0.11874665	0.349	0.58712053	-1.601	0.636	-0.1665000021457672	0.5099999904632568	0.72	0.26666666666666666	0.0	0.28	0.14666666666666667	14	150	0.17435333132743835	0.5099999904632568	0.5259472727775574	-1.593000054359436	0.6359999775886536	-0.23849999532103539	0.5600000023841858	0.6133333333333333	0.5466666666666666	0.0	0.38666666666666666	0.08	10.0	150	-0.020180003717541695	0.09300000220537186	0.4703866243362427	-2.484999895095825	0.289000004529953	0.08299999684095383	0.10000000149011612	0.9266666666666666	0.0	0.0	0.07333333333333333	0.07333333333333333	44.0	25	0.09883999824523926	0.1181199848651886	0.13927999138832092	-0.030799999833106995	0.0	0.0	0.0	-0.05560667812824249	0.1389266550540924	0.07708665728569031	0.041659995913505554	-0.05560667812824249	False
c1riboseqorf5	chr1	853950	854040	+	1	90	90	30way	150	90	-0.08432222	-0.203	0.77375716	-4.586	0.613	-0.34849999845027924	0.5400000214576721	0.43333333333333335	0.3333333333333333	0.0	0.5666666666666667	0.14444444444444443	4	150	-0.10104667395353317	0.10000000149011612	0.7281691431999207	-3.427999973297119	0.6990000009536743	-0.4659999907016754	0.45399999618530273	0.56	0.20666666666666667	0.0	0.44	0.23333333333333334	9.0	150	0.1385466605424881	0.36899998784065247	0.520582377910614	-2.115000009536743	0.6129999756813049	-0.2542499974370003	0.492000013589859	0.6666666666666666	0.24666666666666667	0.0	0.3333333333333333	0.12	16.0	30	0.02773332968354225	-0.14893336594104767	-0.1317666620016098	0.07116664201021194	0.0	0.0	0.0	0.01672445237636566	-0.2228688895702362	0.018749993294477463	-0.10307221114635468	-0.2228688895702362	False
c1norep3	chr1	854949	856651	+	2	375	1702	30way	150	375	0.032506663	0.358	0.6168665	-4.081	0.647	-0.43549999594688416	0.38999998569488525	0.6773333333333333	0.064	0.0	0.32266666666666666	0.16	11	150	0.02927333116531372	0.3700000047683716	0.6003417372703552	-1.8960000276565552	0.5189999938011169	-0.4359999895095825	0.3840000033378601	0.7066666666666667	0.013333333333333334	0.0	0.29333333333333333	0.20666666666666667	13.0	150	-0.056513335555791855	-0.14100000262260437	0.7758585214614868	-3.572999954223633	0.6470000147819519	-0.2800000011920929	0.5690000057220459	0.4666666666666667	0.41333333333333333	0.0	0.5333333333333333	0.14666666666666667	5.0	125	-0.016375992447137833	0.07632000744342804	0.03757599741220474	-0.007603989914059639	0.0	0.0	0.0	0.003233332186937332	0.08901999890804291	-0.01361999474465847	0.046126656234264374	0.003233332186937332	False
c1norep4	chr1	1000104	1000164	-	1	60	60	30way	150	60	0.16643335	0.31899998	0.73101515	-1.914	0.962	-0.21775000169873238	0.8095000088214874	0.5333333333333333	0.5	0.0	0.45	0.2	8	150	0.0060533396899700165	-0.11300000548362732	0.6608602404594421	-3.1630001068115234	0.8389999866485596	-0.2849999964237213	0.597000002861023	0.44	0.36666666666666664	0.0	0.56	0.16666666666666666	5.0	150	0.14600001275539398	0.5254999995231628	0.6635944247245789	-1.99399995803833	0.9620000123977661	-0.17949999496340752	0.7262499928474426	0.5333333333333333	0.5066666666666667	0.0	0.4666666666666667	0.18	14.0	20	0.07964998483657837	0.29339998960494995	0.1262499839067459	0.06027500331401825	0.0	0.0	0.0	0.16038000583648682	0.02043333649635315	0.07602667063474655	0.09040667861700058	0.02043333649635315	False
c1riboseqorf6	chr1	1254954	1255053	-	1	99	99	30way	150	99	-0.26605052	-0.148	1.051485	-3.995	1.163	-0.6184999942779541	0.23549999296665192	0.4444444444444444	0.23232323232323232	0.0	0.5555555555555556	0.30303030303030304	7	150	0.27369335293769836	0.2619999945163727	0.8048588633537292	-2.9700000286102295	1.2760000228881836	-0.16874999925494194	1.057750016450882	0.7333333333333333	0.36666666666666664	0.0	0.26666666666666666	0.14	14.0	150	-0.0906599909067154	0.06549999862909317	0.8692549467086792	-3.053999900817871	1.2979999780654907	-0.6542500108480453	0.29125000536441803	0.5533333333333333	0.24	0.0	0.44666666666666666	0.2866666666666667	9.0	33	-0.2990908920764923	-0.3126969635486603	-0.18636366724967957	-0.11953026056289673	0.0	0.0	0.0	-0.5397439002990723	-0.17539052665233612	0.09151667356491089	-0.3575671911239624	-0.5397439002990723	False
