ENST00000616016	2913	2913	9264.84	3.18051	3.18051
ENST00000618323	2916	2916	9288.6	3.18539	3.18539
ENST00000624697	486	486	465.031	0.956854	0.956854
ENST00000649529	570	570	408.67	0.716965	0.716965
ENST00000620552	6207	6207	21112.7	3.40143	3.40143
ENST00000379031	924	924	2434.41	2.63464	2.63464
ENST00000343938	669	669	2304.81	3.44516	3.44516
ENST00000338660	258	258	623.643	2.41722	2.41722
ENST00000476993	1368	1368	3897.19	2.84882	2.84882
ENST00000673477	2019	2019	7245.12	3.58847	3.58847
ENST00000378756	1833	1833	7879.37	4.29862	4.29862
ENST00000378755	1977	1977	7747.82	3.91898	3.91898
ENST00000487053	2526	2526	10403.6	4.11862	4.11862
ENST00000502470	330	330	1561.89	4.73301	4.73301
ENST00000378712	2337	2337	9502.54	4.06613	4.06613
ENST00000419916	687	687	1444.1	2.10204	2.10204
ENST00000378424	696	696	1322.08	1.89954	1.89954
ENST00000537325	576	576	1082.65	1.8796	1.8796
ENST00000378427	567	567	1475.99	2.60315	2.60315
ENST00000378378	2229	2229	6426.68	2.88321	2.88321
ENST00000378290	1713	1713	7317.53	4.27176	4.27176
ENST00000642557	300	300	541.376	1.80459	1.80459
ENST00000561886	177	177	158.387	0.894842	0.894842
ENST00000444870	300	300	541.376	1.80459	1.80459
ENST00000625756	423	423	647.861	1.53159	1.53159
ENST00000338895	1200	1200	2953.1	2.46092	2.46092
ENST00000491998	924	924	2360.92	2.55511	2.55511
ENST00000468793	459	459	903.37	1.96813	1.96813
ENST00000339350	462	462	593.39	1.28439	1.28439
ENST00000477548	423	423	647.861	1.53159	1.53159
ENST00000378209	1128	1128	2895.18	2.56665	2.56665
ENST00000378206	297	297	732.043	2.46479	2.46479
ENST00000377674	2193	2193	9969.92	4.54625	4.54625
ENST00000054650	843	843	1773.99	2.10438	2.10438
ENST00000700444	171	171	1457.29	8.52215	8.52215
ENST00000700415	4632	4632	26939.6	5.81598	5.81598
ENST00000470357	231	231	1302.14	5.63697	5.63697
ENST00000377403	2502	2502	8424.24	3.367	3.367
ENST00000328089	1125	1125	5179.2	4.60373	4.60373
ENST00000377093	3618	3618	21612.4	5.97357	5.97357
ENST00000696500	1023	1023	6130.37	5.99255	5.99255
ENST00000676179	5607	5607	34606.1	6.17194	6.17194
ENST00000696501	612	612	3235.09	5.28609	5.28609
ENST00000270776	1464	1464	7085.26	4.83966	4.83966
ENST00000477958	204	204	960.313	4.70742	4.70742
ENST00000294484	4383	4383	20211.1	4.61125	4.61125
ENST00000251547	846	839	3602.22	4.25794	4.29346
ENST00000376768	849	842	3392.4	3.99576	4.02898
ENST00000196061	2229	2229	10230.4	4.58969	4.58969
ENST00000675053	2304	2304	13103	5.68707	5.68707
ENST00000675817	2469	2469	13055.1	5.28759	5.28759
ENST00000675298	2490	2490	12545.3	5.03828	5.03828
ENST00000676426	831	831	4746.72	5.71206	5.71206
ENST00000497302	246	246	1278.74	5.19812	5.19812
ENST00000675512	246	246	1278.74	5.19812	5.19812
ENST00000235329	2337	2337	13169	5.63498	5.63498
ENST00000675987	2136	2136	12009.7	5.6225	5.6225
ENST00000376259	1440	1434	1995.74	1.38593	1.39173
ENST00000536782	522	516	596.5	1.14272	1.15601
ENST00000413440	4482	4482	17822.9	3.97655	3.97655
ENST00000343137	4482	4482	17822.9	3.97655	3.97655
ENST00000503842	225	225	857.434	3.81082	3.81082
ENST00000505823	225	225	857.434	3.81082	3.81082
ENST00000375838	1887	1887	8477.67	4.49267	4.49267
ENST00000616884	2226	2226	9992.31	4.48891	4.48891
ENST00000475133	1887	1887	8477.67	4.49267	4.49267
ENST00000375849	2067	2067	9459.54	4.57646	4.57646
ENST00000375847	2448	2448	11378.2	4.64794	4.64794
ENST00000375771	1167	1167	3631.66	3.11196	3.11196
ENST00000375766	1167	1167	3631.66	3.11196	3.11196
ENST00000441801	1170	1170	2251.51	1.92437	1.92437
ENST00000375759	11172	11123	51215.9	4.58431	4.60451
ENST00000438066	585	585	4390.39	7.50493	7.50493
ENST00000375153	1506	1506	3431.93	2.27884	2.27884
ENST00000375155	1143	1143	3316.81	2.90184	2.90184
ENST00000469076	165	165	728.118	4.41284	4.41284
ENST00000400548	738	738	2604.07	3.52856	3.52856
ENST00000497827	486	486	1423.57	2.92916	2.92916
ENST00000617872	210	210	1220.45	5.81167	5.81167
ENST00000322753	258	258	1519.6	5.88991	5.88991
ENST00000602662	603	603	3058.61	5.07232	5.07232
ENST00000622566	561	561	2797.6	4.98682	4.98682
ENST00000375136	561	561	2797.6	4.98682	4.98682
ENST00000548815	561	561	2797.6	4.98682	4.98682
ENST00000375120	1212	1212	5841.87	4.82002	4.82002
ENST00000454000	1734	1734	-10499	-6.0548	-6.0548
ENST00000318249	1944	1944	-11665.5	-6.00076	-6.00076
ENST00000318220	204	204	-338.741	-1.6605	-1.6605
ENST00000342104	1908	1908	-11102.3	-5.81882	-5.81882
ENST00000486229	204	204	-338.741	-1.6605	-1.6605
ENST00000434838	204	204	-288.571	-1.41456	-1.41456
ENST00000467103	183	183	-264.797	-1.44698	-1.44698
ENST00000374832	1677	1677	7451.37	4.44327	4.44327
ENST00000695738	495	495	1134.26	2.29144	2.29144
ENST00000695750	249	249	515.183	2.06901	2.06901
ENST00000695751	795	795	2181.65	2.74422	2.74422
ENST00000374640	780	780	2170.83	2.78311	2.78311
ENST00000374639	780	780	2184.69	2.80089	2.80089
ENST00000695754	762	762	2194.49	2.87991	2.87991
ENST00000695755	762	762	2194.49	2.87991	2.87991
ENST00000695756	762	762	2194.49	2.87991	2.87991
ENST00000695757	762	762	2194.49	2.87991	2.87991
ENST00000695758	462	462	1195.15	2.5869	2.5869
ENST00000695759	543	543	1172.03	2.15843	2.15843
ENST00000695760	840	840	2185.92	2.60229	2.60229
ENST00000695761	501	501	1168.75	2.33283	2.33283
ENST00000695762	753	753	2159.78	2.86823	2.86823
ENST00000509305	762	762	2194.49	2.87991	2.87991
ENST00000695763	438	438	270.064	0.616584	0.616584
ENST00000688680	1848	1848	11339.3	6.136	6.136
ENST00000691694	1836	1836	11344	6.17867	6.17867
ENST00000691404	2610	2610	15964.5	6.11667	6.11667
ENST00000691682	2496	2496	15334.5	6.14363	6.14363
ENST00000692975	2550	2550	15392.6	6.03633	6.03633
ENST00000686339	2142	2142	13233.8	6.17823	6.17823
ENST00000691813	777	777	4009.81	5.16062	5.16062
ENST00000693156	2190	2190	13652.6	6.23407	6.23407
ENST00000465864	2664	2664	16528.6	6.20443	6.20443
ENST00000685102	2724	2724	17100.5	6.2777	6.2777
ENST00000686270	2403	2403	15154.5	6.3065	6.3065
ENST00000686771	2412	2412	14792.3	6.13281	6.13281
ENST00000690627	2472	2472	15364.2	6.21529	6.21529
