ENST00000649529_1	156	156	-56.631	-0.363019	-0.363019
ENST00000166244_1	93	93	179.378	1.9288	1.9288
ENST00000374630_1	246	246	1074.72	4.36877	4.36877
ENST00000373830_1	72	72	70.249	0.975681	0.975681
ENST00000373812_1	276	276	698.459	2.53065	2.53065
ENST00000327300_1	225	225	147.76	0.656711	0.656711
ENST00000336294_1	210	210	411.446	1.95927	1.95927
ENST00000677711_1	45	45	26.747	0.594378	0.594378
ENST00000373548_1	216	216	111.392	0.515704	0.515704
ENST00000373243_1	153	153	503.766	3.29259	3.29259
ENST00000373178_1	129	129	-38.381	-0.297527	-0.297527
ENST00000304979_1	108	108	76.187	0.705435	0.705435
ENST00000372090_1	69	69	41.911	0.607406	0.607406
ENST00000311672_1	162	162	22.298	0.137642	0.137642
ENST00000371761_1	51	51	263.309	5.16292	5.16292
ENST00000360840_1	84	84	53.729	0.639631	0.639631
ENST00000370938_1	42	42	69.312	1.65029	1.65029
ENST00000370841_1	81	81	4.599	0.0567778	0.0567778
ENST00000319942_1	255	255	-153.267	-0.601047	-0.601047
ENST00000451137_1	90	90	38.443	0.427144	0.427144
ENST00000370321_1	72	72	17.747	0.246486	0.246486
ENST00000370141_1	174	174	134.679	0.774017	0.774017
ENST00000423855_1	69	69	8.652	0.125391	0.125391
ENST00000370025_1	15	15	55.08	3.672	3.672
ENST00000369795_1	285	285	170.744	0.599102	0.599102
ENST00000271620_1	21	21	51.538	2.45419	2.45419
ENST00000368905_1	129	129	58.179	0.451	0.451
ENST00000651669_1	111	111	46.434	0.418324	0.418324
ENST00000308987_1	24	24	78.07	3.25292	3.25292
ENST00000292180_1	51	51	60.339	1.18312	1.18312
ENST00000368216_1	51	51	113.8	2.23137	2.23137
ENST00000504449_1	243	243	95.455	0.392819	0.392819
ENST00000414487_1	27	27	54.915	2.03389	2.03389
ENST00000366971_1	87	87	28.378	0.326184	0.326184
ENST00000366928_1	141	141	-47.121	-0.334191	-0.334191
ENST00000366862_1	195	195	68.542	0.351497	0.351497
ENST00000465271_1	48	48	78.368	1.63267	1.63267
ENST00000304786_1	108	108	-24.549	-0.227306	-0.227306
ENST00000366690_1	189	189	-90.47	-0.478677	-0.478677
ENST00000319653_1	213	213	-45.201	-0.212211	-0.212211
ENST00000366541_1	48	48	85.55	1.78229	1.78229
ENST00000302550_1	138	137	127.133	0.921254	0.927978
ENST00000435064_1	228	228	-196.649	-0.862496	-0.862496
ENST00000343813_1	237	237	12.381	0.0522405	0.0522405
ENST00000375254_1	183	183	127.712	0.69788	0.69788
